,date,team,opponent,game_time,attendance,night_game,home
52,"Thursday, Jun 1 2017",NYY,TOR,3:10,"37,722",1,0
53,"Friday, Jun 2 2017",NYY,TOR,3:13,"44,261",1,0
54,"Saturday, Jun 3 2017",NYY,TOR,3:00,"47,226",0,0
55,"Sunday, Jun 4 2017",NYY,TOR,2:27,"46,782",0,0
56,"Tuesday, Jun 6 2017",NYY,BOS,3:35,"41,516",1,1
57,"Wednesday, Jun 7 2017",NYY,BOS,2:42,"44,380",1,1
58,"Thursday, Jun 8 2017",NYY,BOS,3:27,"46,194",1,1
59,"Friday, Jun 9 2017",NYY,BAL,2:45,"46,031",1,1
60,"Saturday, Jun 10 2017",NYY,BAL,3:11,"45,232",1,1
61,"Sunday, Jun 11 2017",NYY,BAL,3:38,"46,348",0,1
62,"Monday, Jun 12 2017",NYY,LAA,3:40,"36,245",1,0
63,"Tuesday, Jun 13 2017",NYY,LAA,4:14,"33,159",1,0
64,"Wednesday, Jun 14 2017",NYY,LAA,3:23,"43,851",1,0
65,"Thursday, Jun 15 2017",NYY,OAK,4:29,"21,838",1,0
66,"Friday, Jun 16 2017",NYY,OAK,3:13,"30,184",1,0
67,"Saturday, Jun 17 2017",NYY,OAK,3:17,"31,418",0,0
68,"Sunday, Jun 18 2017",NYY,OAK,2:55,"34,140",0,0
69,"Tuesday, Jun 20 2017",NYY,LAA,3:26,"39,853",1,1
70,"Wednesday, Jun 21 2017",NYY,LAA,3:14,"39,911",1,1
71,"Thursday, Jun 22 2017",NYY,LAA,3:24,"43,051",1,1
72,"Friday, Jun 23 2017",NYY,TEX,3:32,"39,602",1,1
73,"Saturday, Jun 24 2017",NYY,TEX,3:03,"40,225",0,1
74,"Sunday, Jun 25 2017",NYY,TEX,3:20,"46,625",0,1
75,"Monday, Jun 26 2017",NYY,CHW,3:28,"20,339",1,0
76,"Tuesday, Jun 27 2017",NYY,CHW,3:25,"18,023",1,0
77,"Wednesday, Jun 28 2017",NYY,CHW,3:51,"15,259",1,0
78,"Thursday, Jun 29 2017",NYY,CHW,3:01,"21,032",1,0
79,"Friday, Jun 30 2017",NYY,HOU,3:20,"40,024",1,0
81,"Saturday, Jul 1 2017",NYY,HOU,3:25,"41,010",1,0
82,"Sunday, Jul 2 2017",NYY,HOU,3:29,"41,761",0,0
83,"Monday, Jul 3 2017",NYY,TOR,3:11,"46,616",1,1
84,"Tuesday, Jul 4 2017",NYY,TOR,3:08,"44,018",0,1
85,"Wednesday, Jul 5 2017",NYY,TOR,3:28,"38,691",0,1
86,"Friday, Jul 7 2017",NYY,MIL,3:57,"43,472",1,1
87,"Saturday, Jul 8 2017",NYY,MIL,2:36,"40,224",0,1
88,"Sunday, Jul 9 2017",NYY,MIL,3:59,"43,952",0,1
89,"Friday, Jul 14 2017",NYY,BOS,3:27,"37,570",1,0
90,"Saturday, Jul 15 2017",NYY,BOS,5:50,"36,936",0,0
91,"Sunday, Jul 16 (1) 2017",NYY,BOS,3:13,"37,343",0,0
